(1, 271, 54), 
(1, 5, 96), 
(1, 177, 51), 
(1, 178, 55), 
(1, 179, 50), 
(1, 180, 63), 
(1, 181, 66), 
(1, 139, 77), 
(1, 140, 95), 
(1, 141, 58), 
(3, 226, 65), 
(3, 227, 57), 
(3, 5, 89), 
(4, 226, 97), 
(4, 227, 93), 
(4, 5, 46), 
(5, 259, 47), 
(5, 260, 43), 
(5, 261, 59), 
(5, 262, 79), 
(5, 263, 91), 
(5, 10, 52), 
(6, 249, 58), 
(6, 250, 83), 
(6, 251, 69), 
(6, 252, 85), 
(7, 5, 73), 
(7, 177, 62), 
(7, 178, 44), 
(7, 180, 48), 
(7, 140, 65), 
(7, 141, 70), 
(7, 139, 81), 
(7, 316, 80), 
(8, 253, 89), 
(8, 254, 49), 
(8, 255, 86), 
(9, 10, 41), 
(9, 197, 49), 
(9, 198, 45), 
(9, 199, 50), 
(9, 200, 58), 
(9, 201, 89), 
(10, 132, 40), 
(10, 133, 74), 
(10, 134, 56), 
(10, 135, 97), 
(10, 136, 56), 
(11, 11, 85), 
(11, 12, 68), 
(11, 13, 52), 
(11, 14, 63), 
(12, 44, 56), 
(12, 45, 72), 
(12, 46, 77), 
(15, 127, 94), 
(15, 128, 89), 
(15, 129, 94), 
(15, 130, 75), 
(15, 131, 98), 
(16, 78, 84), 
(16, 79, 81), 
(16, 80, 69), 
(16, 81, 72), 
(16, 82, 97), 
(17, 304, 55), 
(17, 10, 78), 
(17, 287, 91), 
(17, 289, 63), 
(17, 186, 99), 
(18, 271, 49), 
(18, 160, 73), 
(18, 167, 51), 
(18, 5, 76), 
(18, 139, 60), 
(18, 140, 82), 
(18, 141, 51), 
(18, 177, 99), 
(18, 178, 66), 
(20, 10, 78), 
(20, 162, 84), 
(20, 163, 81), 
(20, 164, 40), 
(20, 165, 45), 
(20, 166, 48), 
(21, 264, 57), 
(21, 265, 44), 
(21, 266, 61), 
(21, 267, 79), 
(22, 64, 71), 
(22, 65, 72), 
(22, 66, 73), 
(22, 67, 97), 
(22, 68, 58), 
(23, 256, 74), 
(23, 257, 48), 
(23, 258, 51), 
(23, 5, 74), 
(23, 177, 82), 
(23, 179, 98), 
(24, 5, 86), 
(24, 177, 61), 
(24, 178, 52), 
(24, 180, 56), 
(24, 140, 54), 
(24, 141, 78), 
(24, 139, 50), 
(24, 316, 63), 
(25, 122, 67), 
(25, 123, 86), 
(25, 124, 56), 
(25, 125, 51), 
(25, 126, 69), 
(25, 10, 70), 
(26, 127, 60), 
(26, 128, 42), 
(26, 129, 40), 
(26, 130, 62), 
(26, 131, 55), 
(27, 33, 53), 
(28, 256, 40), 
(28, 257, 83), 
(28, 258, 77), 
(28, 5, 44), 
(28, 177, 84), 
(28, 179, 72), 
(29, 5, 41), 
(29, 177, 67), 
(29, 178, 62), 
(29, 180, 66), 
(29, 140, 82), 
(29, 141, 56), 
(29, 139, 63), 
(29, 316, 87), 
(30, 78, 47), 
(30, 79, 86), 
(30, 80, 65), 
(30, 81, 66), 
(30, 82, 49), 
(31, 33, 60), 
(32, 240, 58), 
(32, 241, 59), 
(32, 242, 68), 
(32, 243, 93), 
(32, 244, 45), 
(32, 5, 53), 
(33, 273, 40), 
(33, 274, 46), 
(33, 275, 95), 
(33, 276, 45), 
(33, 10, 83), 
(34, 11, 73), 
(34, 12, 60), 
(34, 13, 53), 
(34, 14, 84), 
(35, 326, 74), 
(35, 327, 46), 
(35, 328, 66), 
(35, 329, 87), 
(35, 330, 58), 
(35, 331, 78), 
(35, 332, 72), 
(36, 323, 96), 
(36, 324, 54), 
(36, 325, 70), 
(36, 322, 48), 
(37, 281, 53), 
(37, 282, 48), 
(37, 283, 96), 
(37, 285, 81), 
(38, 11, 48), 
(38, 12, 79), 
(38, 13, 86), 
(38, 14, 81), 
(39, 127, 60), 
(39, 128, 86), 
(39, 129, 54), 
(39, 130, 40), 
(39, 131, 70), 
(40, 33, 60), 
(41, 127, 82), 
(41, 128, 81), 
(41, 129, 57), 
(41, 130, 80), 
(41, 131, 61), 
(42, 29, 54), 
(42, 30, 96), 
(42, 31, 62), 
(42, 32, 74), 
(46, 78, 60), 
(46, 79, 64), 
(46, 80, 45), 
(46, 81, 68), 
(46, 82, 55), 
(47, 103, 74), 
(47, 104, 48), 
(47, 105, 40), 
(47, 106, 43), 
(47, 107, 70), 
(47, 10, 60), 
(48, 47, 95), 
(48, 48, 90), 
(48, 49, 67), 
(48, 50, 42), 
(48, 51, 85), 
(49, 10, 51), 
(49, 182, 81), 
(49, 183, 48), 
(49, 18, 60), 
(49, 185, 62), 
(49, 186, 71), 
(50, 207, 50), 
(50, 208, 77), 
(50, 209, 95), 
(50, 210, 83), 
(50, 211, 60), 
(51, 202, 40), 
(51, 203, 61), 
(51, 204, 61), 
(51, 205, 60), 
(51, 206, 43), 
(53, 5, 59), 
(53, 52, 61), 
(53, 53, 54), 
(53, 54, 79), 
(53, 55, 45), 
(54, 122, 88), 
(54, 123, 43), 
(54, 124, 98), 
(54, 125, 47), 
(54, 126, 59), 
(54, 10, 84), 
(55, 142, 49), 
(55, 143, 49), 
(55, 144, 43), 
(55, 145, 72), 
(55, 10, 80), 
(56, 259, 49), 
(56, 260, 87), 
(56, 261, 59), 
(56, 262, 88), 
(56, 263, 70), 
(56, 10, 58), 
(57, 253, 53), 
(57, 254, 81), 
(57, 255, 94), 
(58, 44, 79), 
(58, 45, 78), 
(58, 46, 55), 
